# %ECSV 0.9
# ---
# datatype:
# - {name: energy, unit: eV, datatype: int64}
# - {name: AlOxide, datatype: float64, description: 10 nm Al2O3 (density 3.97)}
# - {name: Al, datatype: float64, description: 30 nm Al}
# - {name: Kapton, datatype: float64, description: 45 nm C22H10N2O5 (density 1.43)}
# - {name: 95% mesh, datatype: float64, description: 95% mesh}
# - {name: Detector QE, datatype: float64, description: Detector QE (source unknown)}
# - {name: Total_throughput, datatype: float64}
# meta: !!omap
# - {ORIGFILE: XGSdetQE_10nmAl2O3_30nmAl_45nmPoly_95mesh.txt}
# - {origin: "-------- Forwarded Message --------\nSubject: \tRe: [xrs-iwg-chairs] Fwd:\
#     \ filter+QE curve\nDate: \tFri, 11 May 2018 10:17:35 -0400\nFrom: \tRandall McEntaffer\
#     \ <rlm90@psu.edu>\nTo: \txrs-iwg-chairs@cfa.harvard.edu\n\n\nOK - please ignore\
#     \ everything I said yesterday (if you haven't \nalready).  Please delete the data\
#     \ file I sent yesterday in an effort to \nkeep it from floating around and causing\
#     \ even more confusion.\n\nI've attached a file to replace the one I sent yesterday.\
#     \  This one has \nthe 45 nm Kapton + 95% mesh contamination filter.  I've also\
#     \ attached \nnew curves for reference.  The total stacked-up throughput is now\
#     \ ~77% \nat OVII (triplet at ~568 eV), ~54% at CV (triplet at ~304 eV), and ~66%\
#     \ \nat CVI (~368 eV).\n\nSorry about the confusion.  Thanks again Abe for catching\
#     \ that.\n\nRandy\n\n"}
# - {author: Hans Moritz Guenther}
# - {orig_author: Randall McEntaffer}
# - {Note: The original file only included data to 2.1 keV. I expented is with arbitrary numbers to avoid interpolation errors.}
# schema: astropy-2.0
energy AlOxide Al Kapton "95% mesh" "Detector QE" Total_throughput
100 0.70239 0.41799 0.80062 0.95 0.8888382 0.198480097
104 0.70599 0.40959 0.81521 0.95 0.8322508 0.186378246
108 0.70992 0.40389 0.82836 0.95 0.795152 0.179417744
112 0.71321 0.39842 0.84023 0.95 0.797034 0.180782835
116 0.71595 0.39314 0.85097 0.95 0.7732626 0.175952235
120 0.71821 0.38803 0.86072 0.95 0.7580615 0.17274548
124 0.72004 0.38308 0.86958 0.95 0.7467645 0.17016213
128 0.7279 0.39136 0.87767 0.95 0.7400175 0.175770102
132 0.73634 0.40164 0.88507 0.95 0.7359152 0.18299716
136 0.74423 0.41159 0.89203 0.95 0.7498368 0.194644351
140 0.75159 0.42123 0.89837 0.95 0.7605862 0.205507452
144 0.75854 0.43055 0.9042 0.95 0.7650723 0.214631108
148 0.7651 0.43959 0.90956 0.95 0.7652822 0.222403991
152 0.7717 0.44922 0.9145 0.95 0.7660454 0.230711588
156 0.77863 0.4601 0.91906 0.95 0.7736664 0.241993985
160 0.7852 0.47064 0.92329 0.95 0.7705955 0.249779811
164 0.79143 0.48085 0.92723 0.95 0.7675275 0.257292516
168 0.79735 0.49074 0.9309 0.95 0.7683172 0.265868967
172 0.80297 0.50032 0.93432 0.95 0.7772299 0.277150671
176 0.80832 0.5096 0.93749 0.95 0.7934117 0.29107278
180 0.81451 0.52123 0.94047 0.95 0.8034791 0.304767716
184 0.82275 0.53781 0.94345 0.95 0.8081266 0.320493083
188 0.83069 0.55373 0.94654 0.95 0.8128683 0.336217102
192 0.83815 0.56902 0.94949 0.95 0.8174661 0.351668147
196 0.84516 0.58369 0.95223 0.95 0.8221895 0.366909181
200 0.85176 0.59777 0.95478 0.95 0.826944 0.381904148
204 0.85802 0.61141 0.95714 0.95 0.8316272 0.396695894
208 0.86394 0.62453 0.95934 0.95 0.8356895 0.410939597
212 0.86953 0.6371 0.9614 0.95 0.8399028 0.424960855
216 0.8748 0.64915 0.96331 0.95 0.8438673 0.438548538
220 0.87979 0.66071 0.96509 0.95 0.8476637 0.451757018
