# %ECSV 0.9
# ---
# datatype:
# - {name: energy, datatype: float64}
# - {name: '1', datatype: float64}
# - {name: '2', datatype: float64}
# - {name: '3', datatype: float64}
# - {name: '4', datatype: float64}
# - {name: '5', datatype: float64}
# - {name: '6', datatype: float64}
# - {name: '7', datatype: float64}
# - {name: '8', datatype: float64}
# - {name: '9', datatype: float64}
# - {name: '10', datatype: float64}
# - {name: '11', datatype: float64}
# - {name: '12', datatype: float64}
# - {name: total, datatype: float64}
# meta: !!omap
# - {author: Hans Moritz Guenther}
# - {ORIGFILE: Output4Ralf.xlsx}
# - {origin: "\n-------- Forwarded Message --------\nSubject: \tRe: Lynx mirror parameters\nDate: \tTue, 14 Aug 2018 20:41:36 -0400\n\
#     From: \tWilliam W. Zhang <William.W.Zhang@nasa.gov>\nTo: \tRalf Heilmann <ralf@space.mit.edu>\n\n\nSee attachment. I think it has\
#     \ what you wanted.\n\n\n============================================================================================================\n\
#     William W. Zhang ||  Goddard Space Flight Center || Bldg 34 Rm S266 || Greenbelt, MD 20771 || (301) 286 6230\n============================================================================================================\n"}
# schema: astropy-2.0
energy 1 2 3 4 5 6 7 8 9 10 11 12 total
0.1 365.88 775.56 1220.64 1699.63 2209.78 2724.32 3154.95 3598.84 4119.65 4580.89 4964.06 5526.69 34940.89
0.11 365.36 773.8 1216.84 1692.89 2199.11 2708.81 3134.29 3572.17 4085.53 4538.96 4914.31 5466.39 34668.46
0.12 363.91 768.95 1206.37 1674.35 2169.83 2666.35 3077.85 3499.47 3992.73 4425.19 4779.65 5303.63 33928.28
0.13 361.4 760.54 1188.27 1642.39 2119.54 2593.67 2981.56 3375.86 3835.47 4233.06 4553.0 5030.62 32675.38
0.14 358.32 750.27 1166.28 1603.74 2058.98 2506.56 2866.67 3229.05 3649.57 4006.97 4287.51 4712.32 31196.24
0.15 354.89 738.92 1142.1 1561.48 1993.14 2412.36 2743.1 3072.02 3451.81 3767.79 4008.18 4379.3 29625.09
0.16 351.82 728.79 1120.64 1524.17 1935.34 2330.12 2635.82 2936.42 3282.0 3563.53 3770.96 4098.07 28277.68
0.17 349.35 720.67 1103.52 1494.55 1889.64 2265.41 2551.8 2830.74 3150.28 3405.87 3588.72 3883.06 27233.61
0.18 347.21 713.67 1088.81 1469.2 1850.7 2210.48 2480.75 2741.7 3039.74 3274.05 3436.93 3704.67 26357.91
0.19 345.09 706.77 1074.37 1444.39 1812.74 2157.14 2412.02 2655.9 2933.63 3148.01 3292.36 3535.44 25517.86
0.2 343.55 701.76 1063.91 1426.49 1785.44 2118.89 2362.89 2594.77 2858.27 3058.78 3190.35 3416.42 24921.52
0.21 342.28 697.66 1055.37 1411.92 1763.26 2087.9 2323.16 2545.46 2797.63 2987.15 3108.65 3321.33 24441.77
0.22 341.42 694.87 1049.58 1402.03 1748.24 2066.95 2296.37 2512.25 2756.86 2939.08 3053.9 3257.71 24119.26
0.23 340.8 692.87 1045.42 1394.96 1737.5 2051.98 2277.23 2488.55 2727.77 2904.78 3014.86 3212.34 23889.06
0.24 340.34 691.39 1042.35 1389.73 1729.57 2040.94 2263.11 2471.07 2706.33 2879.51 2986.09 3178.93 23719.36
0.25 340.4 691.58 1042.73 1390.38 1730.53 2042.24 2264.75 2473.04 2708.67 2882.17 2989.0 3182.15 23737.64
0.26 340.24 691.06 1041.65 1388.53 1727.71 2038.28 2259.64 2466.65 2700.75 2872.73 2978.11 3169.32 23674.67
0.27 339.93 690.07 1039.61 1385.04 1722.4 2030.87 2250.13 2454.83 2686.18 2855.48 2958.37 3146.25 23559.16
0.28 339.61 689.02 1037.41 1381.3 1716.73 2022.95 2239.98 2442.22 2670.66 2837.1 2937.36 3121.71 23436.05
0.29 339.29 687.99 1035.29 1377.68 1711.23 2015.27 2230.15 2430.01 2655.62 2819.31 2917.01 3097.95 23316.8
0.3 338.94 686.87 1032.97 1373.74 1705.25 2006.92 2219.46 2416.74 2639.3 2800.0 2894.94 3072.19 23187.32
0.31 338.51 685.49 1030.11 1368.88 1697.88 1996.65 2206.33 2400.48 2619.32 2776.41 2868.04 3040.88 23028.98
0.32 337.98 683.77 1026.54 1362.81 1688.69 1983.88 2190.04 2380.33 2594.63 2747.34 2834.98 3002.48 22833.47
0.33 337.51 682.27 1023.44 1357.56 1680.75 1972.84 2175.96 2362.94 2573.33 2722.27 2806.47 2969.39 22664.73
0.34 337.12 681.0 1020.82 1353.12 1674.03 1963.5 2164.05 2348.21 2555.29 2701.03 2782.31 2941.34 22521.82
0.35 336.79 679.95 1018.65 1349.43 1668.45 1955.75 2154.16 2335.98 2540.28 2683.35 2762.18 2917.93 22402.9
0.36 336.59 679.29 1017.29 1347.12 1664.95 1950.86 2147.91 2328.22 2530.73 2672.04 2749.23 2902.79 22327.02
0.37 336.44 678.83 1016.33 1345.48 1662.45 1947.37 2143.4 2322.59 2523.75 2663.71 2739.62 2891.46 22271.43
0.38 336.24 678.16 1014.95 1343.15 1658.91 1942.42 2137.07 2314.71 2514.03 2652.18 2726.4 2875.97 22194.19
0.39 336.03 677.49 1013.56 1340.78 1655.31 1937.41 2130.64 2306.73 2504.19 2640.52 2713.02 2860.3 22115.98
0.4 335.83 676.85 1012.24 1338.54 1651.92 1932.67 2124.57 2299.18 2494.87 2629.46 2700.34 2845.44 22041.91
0.41 335.66 676.32 1011.13 1336.65 1649.05 1928.66 2119.42 2292.76 2486.93 2620.01 2689.47 2832.66 21978.72
0.42 335.56 675.99 1010.45 1335.49 1647.27 1926.15 2116.17 2288.66 2481.82 2613.86 2682.31 2824.14 21937.87
0.43 335.59 676.1 1010.67 1335.83 1647.75 1926.76 2116.85 2289.38 2482.53 2614.47 2682.73 2824.28 21942.94
0.44 335.57 676.02 1010.5 1335.53 1647.26 1926.02 2115.82 2287.99 2480.65 2612.05 2679.71 2820.44 21927.56
0.45 335.49 675.75 1009.93 1334.54 1645.72 1923.84 2112.97 2284.36 2476.06 2606.45 2673.12 2812.5 21890.73
0.46 335.38 675.4 1009.2 1333.3 1643.83 1921.15 2109.47 2279.94 2470.51 2599.75 2665.28 2803.11 21846.32
0.47 335.26 675.02 1008.41 1331.94 1641.75 1918.21 2105.66 2275.13 2464.49 2592.49 2656.8 2793.0 21798.16
0.48 335.14 674.61 1007.57 1330.5 1639.54 1915.11 2101.63 2270.06 2458.14 2584.85 2647.9 2782.39 21747.44
0.49 335.01 674.21 1006.72 1329.06 1637.33 1911.99 2097.59 2264.97 2451.78 2577.18 2638.97 2771.74 21696.55
0.5 334.89 673.81 1005.9 1327.64 1635.17 1908.94 2093.64 2259.99 2445.54 2569.65 2630.19 2761.28 21646.64
0.51 334.77 673.43 1005.12 1326.3 1633.12 1906.04 2089.87 2255.23 2439.57 2562.45 2621.78 2751.23 21598.91
0.52 334.66 673.09 1004.41 1325.09 1631.25 1903.4 2086.43 2250.88 2434.09 2555.81 2613.99 2741.89 21554.99
0.53 334.58 672.81 1003.81 1324.06 1629.67 1901.15 2083.48 2247.12 2429.33 2550.01 2607.15 2733.63 21516.8
0.54 334.51 672.6 1003.38 1323.3 1628.48 1899.45 2081.23 2244.21 2425.61 2545.42 2601.66 2726.92 21486.77
0.55 334.51 672.58 1003.33 1323.2 1628.29 1899.11 2080.69 2243.41 2424.44 2543.79 2599.5 2724.03 21476.88
0.56 334.62 672.93 1004.02 1324.35 1629.97 1901.35 2083.42 2246.6 2428.09 2547.77 2603.64 2728.34 21505.1
0.57 334.84 673.64 1005.49 1326.78 1633.57 1906.23 2089.47 2253.83 2436.61 2557.36 2614.01 2739.7 21571.53
0.58 334.96 674.02 1006.26 1328.05 1635.42 1908.7 2092.45 2257.3 2440.55 2561.61 2618.37 2744.16 21601.85
0.59 335.04 674.25 1006.72 1328.8 1636.49 1910.07 2094.06 2259.08 2442.44 2563.47 2620.03 2745.5 21615.95
0.6 335.08 674.39 1006.98 1329.22 1637.07 1910.78 2094.82 2259.82 2443.07 2563.85 2620.01 2744.91 21620.0
0.61 335.1 674.46 1007.12 1329.42 1637.31 1911.01 2094.97 2259.8 2442.78 2563.15 2618.78 2742.91 21616.81
0.62 335.11 674.48 1007.15 1329.43 1637.27 1910.87 2094.65 2259.21 2441.78 2561.62 2616.6 2739.83 21608.0
0.63 335.11 674.46 1007.09 1329.31 1637.03 1910.44 2093.96 2258.16 2440.22 2559.43 2613.67 2735.87 21594.75
0.64 335.09 674.41 1006.97 1329.07 1636.62 1909.77 2092.97 2256.74 2438.21 2556.71 2610.13 2731.19 21577.88
0.65 335.07 674.33 1006.79 1328.75 1636.06 1908.91 2091.73 2255.01 2435.81 2553.53 2606.08 2725.93 21558.0
0.66 335.04 674.23 1006.57 1328.34 1635.4 1907.88 2090.29 2253.02 2433.11 2549.99 2601.61 2720.16 21535.64
0.67 335.0 674.11 1006.32 1327.88 1634.64 1906.73 2088.68 2250.83 2430.15 2546.14 2596.78 2713.98 21511.24
0.68 334.96 673.98 1006.03 1327.36 1633.79 1905.46 2086.92 2248.45 2426.95 2542.01 2591.64 2707.42 21484.97
0.69 334.92 673.83 1005.71 1326.79 1632.87 1904.08 2085.01 2245.9 2423.53 2537.62 2586.18 2700.5 21456.94
0.7 334.87 673.68 1005.37 1326.18 1631.89 1902.63 2083.01 2243.22 2419.97 2533.05 2580.52 2693.33 21427.72
0.71 334.82 673.51 1005.02 1325.55 1630.88 1901.12 2080.94 2240.45 2416.29 2528.34 2574.69 2685.95 21397.56
0.72 334.77 673.34 1004.65 1324.9 1629.84 1899.57 2078.82 2237.62 2412.52 2523.52 2568.73 2678.42 21366.7
0.73 334.72 673.17 1004.28 1324.24 1628.78 1898.0 2076.67 2234.74 2408.7 2518.63 2562.68 2670.78 21335.39
0.74 334.66 672.99 1003.91 1323.58 1627.71 1896.42 2074.49 2231.84 2404.84 2513.7 2556.58 2663.05 21303.77
0.75 334.61 672.82 1003.54 1322.91 1626.65 1894.83 2072.32 2228.94 2400.98 2508.75 2550.45 2655.29 21272.09
0.76 334.56 672.65 1003.17 1322.25 1625.58 1893.25 2070.14 2226.02 2397.09 2503.76 2544.27 2647.46 21240.2
0.77 334.51 672.48 1002.8 1321.6 1624.53 1891.68 2067.98 2223.12 2393.22 2498.79 2538.1 2639.63 21208.44
0.78 334.46 672.32 1002.45 1320.97 1623.52 1890.16 2065.88 2220.3 2389.44 2493.93 2532.04 2631.91 21177.38
0.79 334.41 672.16 1002.12 1320.38 1622.55 1888.71 2063.87 2217.58 2385.79 2489.19 2526.11 2624.34 21147.21
0.8 334.37 672.02 1001.82 1319.83 1621.66 1887.35 2061.97 2214.99 2382.28 2484.63 2520.38 2616.97 21118.27
0.81 334.33 671.9 1001.55 1319.33 1620.84 1886.1 2060.21 2212.57 2378.98 2480.3 2514.9 2609.88 21090.89
0.82 334.3 671.8 1001.33 1318.92 1620.15 1885.02 2058.67 2210.42 2376.0 2476.33 2509.82 2603.25 21066.01
0.83 334.29 671.73 1001.17 1318.62 1619.63 1884.18 2057.41 2208.62 2373.44 2472.85 2505.28 2597.23 21044.45
0.84 334.28 671.7 1001.09 1318.45 1619.29 1883.59 2056.49 2207.22 2371.36 2469.93 2501.36 2591.9 21026.66
