X(mm)	Peak	CWHM(nm)	Peak lambda	FWHM(nm)	File
10.0	0.19	2.7896	2.7903	0.0500	rxo000600
12.0	0.39	2.9998	3.0002	0.0552	rxo000601
14.0	1.21	3.1999	3.2003	0.0542	rxo000602
16.0	1.87	3.4032	3.4052	0.0612	rxo000603
18.0	2.67	3.6129	3.6153	0.0665	rxo000604
20.0	3.31	3.8172	3.8171	0.0711	rxo000605
22.0	3.48	4.0198	4.0197	0.0819	rxo000606
24.0	5.39	4.2318	4.2384	0.0812	rxo000607
26.0	11.31	4.4517	4.4526	0.0865	rxo000574
27.0	11.29	4.5587	4.5598	0.0907	rxo000575
28.0	11.36	4.6664	4.6678	0.0955	rxo000576
29.0	11.53	4.7744	4.7759	0.0997	rxo000577
30.0	11.71	4.8827	4.8845	0.1043	rxo000578
31.0	11.97	4.9909	4.9933	0.1088	rxo000579
32.0	12.08	5.0987	5.1011	0.1139	rxo000580
33.0	12.15	5.2068	5.2097	0.1193	rxo000581
34.0	12.25	5.3163	5.3198	0.1241	rxo000582
35.0	12.35	5.4244	5.4280	0.1296	rxo000583
36.0	12.43	5.5308	5.5347	0.1345	rxo000584
37.0	12.48	5.6360	5.6403	0.1397	rxo000585
38.0	12.50	5.7402	5.7452	0.1458	rxo000586
39.0	12.54	5.8432	5.8486	0.1510	rxo000587
40.0	12.57	5.9453	5.9514	0.1572	rxo000588
41.0	12.63	6.0456	6.0521	0.1635	rxo000589
42.0	12.58	6.1456	6.1527	0.1708	rxo000590
43.0	12.62	6.2451	6.2535	0.1774	rxo000591
44.0	12.58	6.3433	6.3522	0.1843	rxo000592
45.0	12.62	6.4397	6.4495	0.1911	rxo000593
46.0	12.65	6.5347	6.5443	0.1963	rxo000594
47.0	12.54	6.6256	6.6369	0.2056	rxo000595
48.0	12.44	6.7166	6.7290	0.2114	rxo000596
49.0	6.67	6.7781	6.7968	0.2015	rxo000597
50.0	0.18	6.8235	6.7410	0.3064	rxo000598
