X(mm)	Peak	CWHM(nm)	Peak lambda	FWHM(nm)	File
0.0	0.30	7.2950	7.3332	0.2770	rxo000900
1.0	20.02	7.3237	7.3381	0.1724	rxo000901
2.0	19.88	7.2402	7.2550	0.1701	rxo000902
3.0	19.63	7.1557	7.1704	0.1667	rxo000903
4.0	19.22	7.0702	7.0865	0.1651	rxo000904
5.0	18.72	6.9840	6.9998	0.1638	rxo000905
6.0	18.25	6.8965	6.9132	0.1636	rxo000906
7.0	18.05	6.8083	6.8261	0.1636	rxo000907
8.0	18.19	6.7220	6.7386	0.1613	rxo000908
9.0	19.33	6.6483	6.6563	0.1386	rxo000909
10.0	15.16	6.6812	6.6000	0.2997	rxo000910
11.0	8.70	6.6921	6.7309	0.1826	rxo000911
12.0	9.18	6.6441	6.6506	0.0970	rxo000912
13.0	2.91	6.6157	6.6306	0.0815	rxo000913
14.0	0.95	6.0957	6.1040	0.2028	rxo000914
15.0	0.62	5.9839	5.9947	0.1646	rxo000915
16.0	0.45	5.8747	5.8914	0.1688	rxo000916
