Angle=0.22000E-01mrad,	1.9GeV,
Photon energy	Polarization
10	0.937237024
10.4712858	0.935481727
10.9647827	0.933683336
11.4815369	0.931841075
12.022644	0.92995435
12.5892544	0.928022444
13.1825676	0.926044643
13.8038435	0.92402029
14.4543982	0.92194885
15.1356125	0.919829547
15.8489323	0.917661846
16.5958691	0.915445209
17.3780079	0.91317904
18.1970081	0.910862803
19.0546074	0.908496022
19.9526234	0.90607816
20.8929615	0.903608978
21.8776169	0.90108794
22.9086781	0.898514748
23.9883308	0.895889044
25.118866	0.89321059
26.302681	0.890479267
27.5422878	0.887694716
28.8403149	0.884857059
30.1995182	0.881966174
31.622776	0.879022121
33.1131134	0.876024902
34.673687	0.872974753
36.3078079	0.869871914
38.0189438	0.866716623
39.8107185	0.863509357
41.6869392	0.860250533
43.6515846	0.856940806
45.7088242	0.853580654
47.8630104	0.85017097
50.1187286	0.846712589
52.480751	0.843206465
54.9540901	0.839653671
57.5439987	0.836055279
60.2559624	0.83241266
63.0957375	0.828727126
66.0693512	0.825000346
69.1831055	0.821233809
72.4436035	0.817429364
75.8577652	0.813588858
79.4328308	0.809714258
83.176384	0.805807829
87.0963669	0.801871896
91.201088	0.797908783
95.4992676	0.793921053
100.000008	0.789911509
104.712868	0.785883069
109.647827	0.781838536
114.815369	0.777781188
120.226448	0.773714185
125.892555	0.769641161
131.825684	0.765565753
138.038437	0.761491477
144.543991	0.757422388
151.35614	0.753362536
158.489334	0.749315977
165.95871	0.745287001
173.78009	0.741280317
181.970093	0.737300336
190.546097	0.733351827
199.526245	0.729439795
208.929626	0.725569189
218.776184	0.721745133
229.086777	0.717972934
239.883301	0.714258015
251.188675	0.710605741
263.026825	0.707021892
275.422913	0.703512073
288.403198	0.700082004
301.995209	0.696737766
316.227783	0.69348526
331.131165	0.690330625
346.736908	0.687279582
363.078064	0.684338689
380.189453	0.681513727
398.107239	0.678811252
416.869446	0.676237345
436.515869	0.673798025
457.088257	0.67149961
478.630127	0.669347882
501.187286	0.667348981
524.807556	0.665508926
549.540955	0.66383338
575.440002	0.662327945
602.559692	0.660998046
630.957397	0.65984869
660.693481	0.658885062
691.831055	0.658111453
724.436035	0.657532334
758.577637	0.657151759
794.328369	0.656972528
831.763916	0.656998396
870.963745	0.657231212
912.010986	0.657672942
954.992737	0.658325016
1000.00012	0.659187913
